,SEARCHVAL,BLK_NO,ROAD_NAME,BUILDING,ADDRESS,POSTAL,X,Y,LATITUDE,LONGITUDE,Name
244,RAFFLES INSTITUTION (ADMINISTRATIVE CENTRE),1,RAFFLES INSTITUTION LANE,RAFFLES INSTITUTION (ADMINISTRATIVE CENTRE),1 RAFFLES INSTITUTION LANE RAFFLES INSTITUTION (ADMINISTRATIVE CENTRE) SINGAPORE 575954,575954,29146.4620281225,36491.4763483591,1.34629045013358,103.843620247231,Raffles Institution
245,RAFFLES INSTITUTION (ARTSPACE),1,RAFFLES INSTITUTION LANE,RAFFLES INSTITUTION (ARTSPACE),1 RAFFLES INSTITUTION LANE RAFFLES INSTITUTION (ARTSPACE) SINGAPORE 575954,575954,29253.9772660322,36623.6072359029,1.34748539060326,103.844586343411,Raffles Institution
246,RAFFLES INSTITUTION (AUDITORIUM),1,RAFFLES INSTITUTION LANE,RAFFLES INSTITUTION (AUDITORIUM),1 RAFFLES INSTITUTION LANE RAFFLES INSTITUTION (AUDITORIUM) SINGAPORE 575954,575954,29375.0509261759,36649.26840223,1.34771745576312,103.845674266587,Raffles Institution
247,YMCA STUDENT CARE CENTRE @ OASIS PRIMARY SCHOOL,71,EDGEFIELD PLAINS,YMCA STUDENT CARE CENTRE @ OASIS PRIMARY SCHOOL,71 EDGEFIELD PLAINS YMCA STUDENT CARE CENTRE @ OASIS PRIMARY SCHOOL SINGAPORE 828716,828716,36633.3703859271,42923.6562544368,1.4044595121197,103.910896590133,Oasis Primary School
248,OASIS PRIMARY SCHOOL,71,EDGEFIELD PLAINS,OASIS PRIMARY SCHOOL,71 EDGEFIELD PLAINS OASIS PRIMARY SCHOOL SINGAPORE 828716,828716,36658.2990973163,42941.8599344008,1.40462413200793,103.911120600638,Oasis Primary School
249,RED SWASTIKA SCHOOL,350,BEDOK NORTH AVENUE 3,RED SWASTIKA SCHOOL,350 BEDOK NORTH AVENUE 3 RED SWASTIKA SCHOOL SINGAPORE 469719,469719,39241.7795945574,35048.9817909673,1.33324297847732,103.934332314404,Red Swastika School
250,COMMIT LEARNING SCHOOLHOUSE @ RED SWASTIKA SCHOOL,350,BEDOK NORTH AVENUE 3,COMMIT LEARNING SCHOOLHOUSE @ RED SWASTIKA SCHOOL,350 BEDOK NORTH AVENUE 3 COMMIT LEARNING SCHOOLHOUSE @ RED SWASTIKA SCHOOL SINGAPORE 469719,469719,39240.1303829281,35138.9475005791,1.33405659580859,103.934317528484,Red Swastika School
251,AFTERSCHOOL @ RIVER VALLEY PRIMARY SCHOOL,2,RIVER VALLEY GREEN,AFTERSCHOOL @ RIVER VALLEY PRIMARY SCHOOL,2 RIVER VALLEY GREEN AFTERSCHOOL @ RIVER VALLEY PRIMARY SCHOOL SINGAPORE 237993,237993,28300.5267893467,30729.7527125087,1.29418347842837,103.836018941571,River Valley Primary School
252,RIVER VALLEY PRIMARY SCHOOL,2,RIVER VALLEY GREEN,RIVER VALLEY PRIMARY SCHOOL,2 RIVER VALLEY GREEN RIVER VALLEY PRIMARY SCHOOL SINGAPORE 237993,237993,28277.8483209386,30734.1542524323,1.2942232846169,103.835815165829,River Valley Primary School
253,WOODGROVE SECONDARY SCHOOL,3,WOODLANDS AVENUE 6,WOODGROVE SECONDARY SCHOOL,3 WOODLANDS AVENUE 6 WOODGROVE SECONDARY SCHOOL SINGAPORE 738990,738990,23852.2922348054,45561.7290254179,1.42831828137013,103.79604758539,Woodgrove Secondary School
254,HOLY INNOCENTS' HIGH SCHOOL,1191,UPPER SERANGOON ROAD,HOLY INNOCENTS' HIGH SCHOOL,1191 UPPER SERANGOON ROAD HOLY INNOCENTS' HIGH SCHOOL SINGAPORE 534786,534786,35020.0627604807,39284.0954767819,1.37154508822261,103.896398814264,Holy Innocents' High School
255,RADIN MAS PRIMARY SCHOOL,1,BUKIT PURMEI AVENUE,RADIN MAS PRIMARY SCHOOL,1 BUKIT PURMEI AVENUE RADIN MAS PRIMARY SCHOOL SINGAPORE 099840,099840,26983.8685896052,28603.9263991714,1.27495823622634,103.824188270373,Radin Mas Primary School
256,LIANHUA PRIMARY SCHOOL,2,BUKIT BATOK STREET 52,LIANHUA PRIMARY SCHOOL,2 BUKIT BATOK STREET 52 LIANHUA PRIMARY SCHOOL SINGAPORE 659243,659243,19191.1979939695,37370.8497486636,1.35424191127295,103.754165828711,Lianhua Primary School
257,ROSYTH SCHOOL,21,SERANGOON NORTH AVENUE 4,ROSYTH SCHOOL,21 SERANGOON NORTH AVENUE 4 ROSYTH SCHOOL SINGAPORE 555855,555855,32638.8043574626,39432.8315618001,1.37289067499064,103.875001549174,Rosyth School
258,KONG HWA SCHOOL,350,GUILLEMARD ROAD,KONG HWA SCHOOL,350 GUILLEMARD ROAD KONG HWA SCHOOL SINGAPORE 399772,399772,34124.7036575247,32588.943696009,1.31099674009193,103.888352029067,Kong Hwa School
259,NORTHBROOKS SECONDARY SCHOOL,585,YISHUN RING ROAD,NORTHBROOKS SECONDARY SCHOOL,585 YISHUN RING ROAD NORTHBROOKS SECONDARY SCHOOL SINGAPORE 768692,768692,29316.3687516721,44731.7859666422,1.42081285020652,103.845147332528,Northbrooks Secondary School
260,NAVAL BASE PRIMARY SCHOOL,7,YISHUN AVENUE 4,NAVAL BASE PRIMARY SCHOOL,7 YISHUN AVENUE 4 NAVAL BASE PRIMARY SCHOOL SINGAPORE 769028,769028,28609.3447617413,44233.5083953608,1.41630663159387,103.838794077233,Naval Base Primary School
261,HILLGROVE SECONDARY SCHOOL,10,BUKIT BATOK STREET 52,HILLGROVE SECONDARY SCHOOL,10 BUKIT BATOK STREET 52 HILLGROVE SECONDARY SCHOOL SINGAPORE 659250,659250,19059.9452109011,37204.3120635767,1.35273576615912,103.752986488399,Hillgrove Secondary School
